Date,Close,Open,High,Low,Volume,Fluctuation
20050104,982.79 ,994.77 ,994.77 ,980.66 ,7410.00 ,-0.0172 
20050105,992.56 ,981.58 ,997.32 ,979.88 ,7120.00 ,0.0099 
20050106,983.17 ,993.33 ,993.79 ,980.33 ,6290.00 ,-0.0095 
20050107,983.96 ,983.05 ,995.71 ,979.81 ,7300.00 ,0.0008 
20050110,993.88 ,983.76 ,993.96 ,979.79 ,5790.00 ,0.0101 
20050111,997.13 ,994.19 ,999.55 ,991.09 ,5850.00 ,0.0033 
20050112,996.75 ,996.65 ,996.98 ,989.26 ,5020.00 ,-0.0004 
20050113,996.88 ,996.08 ,999.47 ,992.70 ,6040.00 ,0.0001 
20050114,988.31 ,996.62 ,1006.46 ,987.23 ,7300.00 ,-0.0086 
20050117,967.45 ,979.11 ,981.53 ,965.08 ,7290.00 ,-0.0211 
20050118,974.69 ,967.37 ,974.87 ,960.29 ,7310.00 ,0.0075 
20050119,967.21 ,974.33 ,974.33 ,965.26 ,6340.00 ,-0.0077 
20050120,956.25 ,963.21 ,963.21 ,952.23 ,7730.00 ,-0.0113 
20050121,982.60 ,954.46 ,984.27 ,943.44 ,14450.00 ,0.0276 
20050124,998.13 ,1001.85 ,1001.85 ,986.24 ,14360.00 ,0.0158 
20050125,997.77 ,995.64 ,997.95 ,985.24 ,9860.00 ,-0.0004 
20050126,989.93 ,995.78 ,999.47 ,988.48 ,7660.00 ,-0.0079 
20050127,974.63 ,987.34 ,987.70 ,973.77 ,6950.00 ,-0.0155 
20050128,969.21 ,974.63 ,975.62 ,965.21 ,5750.00 ,-0.0056 
20050131,954.88 ,965.79 ,965.79 ,953.14 ,6790.00 ,-0.0148 
20050201,955.95 ,953.33 ,965.48 ,952.74 ,7430.00 ,0.0011 
20050202,1006.91 ,956.70 ,1006.93 ,956.70 ,17060.00 ,0.0533 
20050203,993.22 ,1005.56 ,1014.19 ,992.16 ,16980.00 ,-0.0136 
20050204,1016.86 ,992.25 ,1021.03 ,989.94 ,15740.00 ,0.0238 
20050216,1023.58 ,1023.32 ,1033.25 ,1018.49 ,12130.00 ,0.0066 
20050217,1020.61 ,1024.43 ,1024.43 ,1010.48 ,8970.00 ,-0.0029 
20050218,1006.05 ,1020.12 ,1021.20 ,1005.63 ,8140.00 ,-0.0143 
20050221,1025.63 ,1006.69 ,1025.66 ,1006.69 ,9890.00 ,0.0195 
20050222,1046.74 ,1026.84 ,1048.68 ,1024.53 ,17940.00 ,0.0206 
20050223,1043.94 ,1046.81 ,1049.61 ,1036.63 ,18700.00 ,-0.0027 
20050224,1045.46 ,1042.25 ,1045.96 ,1034.73 ,14680.00 ,0.0015 
20050225,1046.76 ,1046.27 ,1059.48 ,1045.98 ,18170.00 ,0.0012 
20050228,1039.99 ,1046.21 ,1048.28 ,1035.04 ,12970.00 ,-0.0065 
20050301,1035.93 ,1039.35 ,1042.74 ,1031.17 ,9960.00 ,-0.0039 
20050302,1021.32 ,1036.37 ,1045.76 ,1021.00 ,14230.00 ,-0.0141 
20050303,1027.71 ,1019.88 ,1028.40 ,1014.75 ,9200.00 ,0.0063 
20050304,1023.67 ,1027.93 ,1031.85 ,1022.18 ,8170.00 ,-0.0039 
20050307,1029.87 ,1024.48 ,1031.34 ,1024.48 ,7930.00 ,0.0061 
20050308,1048.99 ,1033.79 ,1049.29 ,1032.85 ,14300.00 ,0.0186 
20050309,1046.54 ,1051.26 ,1054.64 ,1041.98 ,15330.00 ,-0.0023 
20050310,1022.41 ,1046.69 ,1046.69 ,1019.63 ,13300.00 ,-0.0231 
20050311,1027.43 ,1021.08 ,1028.12 ,1016.93 ,11480.00 ,0.0049 
20050314,1031.03 ,1027.18 ,1041.57 ,1014.93 ,14470.00 ,0.0035 
20050315,1013.52 ,1030.86 ,1030.94 ,1011.64 ,12010.00 ,-0.0170 
20050316,1003.07 ,1011.85 ,1012.20 ,995.97 ,10620.00 ,-0.0103 
20050317,992.86 ,1001.97 ,1004.82 ,992.12 ,9970.00 ,-0.0102 
20050318,978.66 ,991.89 ,996.40 ,975.71 ,9650.00 ,-0.0143 
20050321,981.89 ,977.30 ,983.18 ,973.00 ,7250.00 ,0.0033 
20050322,964.02 ,981.71 ,982.14 ,959.56 ,11380.00 ,-0.0182 
20050323,959.01 ,962.82 ,975.36 ,955.99 ,10930.00 ,-0.0052 
20050324,964.80 ,957.43 ,965.06 ,948.53 ,9260.00 ,0.0060 
20050325,962.96 ,964.25 ,966.97 ,959.06 ,7110.00 ,-0.0019 
20050328,960.70 ,961.65 ,961.65 ,948.81 ,6670.00 ,-0.0023 
20050329,955.19 ,960.42 ,968.12 ,954.74 ,7580.00 ,-0.0057 
20050330,937.03 ,952.71 ,952.71 ,936.38 ,8950.00 ,-0.0190 
20050331,942.20 ,934.85 ,942.37 ,928.34 ,7860.00 ,0.0055 
20050401,978.14 ,941.43 ,989.90 ,937.55 ,16350.00 ,0.0381 
20050404,962.17 ,968.49 ,974.06 ,956.13 ,11440.00 ,-0.0163 
20050405,955.60 ,960.54 ,967.75 ,953.59 ,9540.00 ,-0.0068 
20050406,973.67 ,955.60 ,977.86 ,948.95 ,14280.00 ,0.0189 
20050407,984.73 ,975.97 ,1000.27 ,974.31 ,20750.00 ,0.0114 
20050408,1003.45 ,984.66 ,1003.70 ,979.53 ,14760.00 ,0.0190 
20050411,995.42 ,1003.88 ,1008.74 ,992.77 ,15940.00 ,-0.0080 
20050412,978.70 ,993.71 ,993.71 ,978.20 ,10230.00 ,-0.0168 
20050413,1000.90 ,987.95 ,1006.50 ,987.95 ,16070.00 ,0.0227 
20050414,986.98 ,1004.64 ,1006.42 ,985.58 ,12950.00 ,-0.0139 
20050415,974.08 ,982.61 ,982.61 ,971.93 ,10410.00 ,-0.0131 
20050418,963.77 ,970.91 ,970.91 ,958.65 ,8600.00 ,-0.0106 
20050419,965.89 ,962.92 ,968.87 ,957.91 ,9210.00 ,0.0022 
20050420,950.87 ,964.15 ,964.15 ,946.20 ,8850.00 ,-0.0156 
