Date,Close,Open,High,Low,Volume,Fluctuation
20050104,982.79,994.77,994.77,980.66,7410,-0.0172
20050105,992.56,981.58,997.32,979.88,7120,0.0099
20050106,983.17,993.33,993.79,980.33,6290,-0.0095
20050107,983.96,983.05,995.71,979.81,7300,0.0008
20050111,997.13,994.19,999.55,991.09,5850,0.0033
20050112,996.75,996.65,996.98,989.26,5020,-0.0004
20050113,996.88,996.08,999.47,992.7,6040,0.0001
20050114,988.31,996.62,1006.46,987.23,7300,-0.0086
20050119,967.21,974.33,974.33,965.26,6340,-0.0077
20050120,956.25,963.21,963.21,952.23,7730,-0.0113
20050121,982.6,954.46,984.27,943.44,14450,0.0276
20050125,997.77,995.64,997.95,985.24,9860,-0.0004
20050126,989.93,995.78,999.47,988.48,7660,-0.0079
20050127,974.63,987.34,987.7,973.77,6950,-0.0155
20050128,969.21,974.63,975.62,965.21,5750,-0.0056
20050202,1006.91,956.7,1006.93,956.7,17060,0.0533
20050203,993.22,1005.56,1014.19,992.16,16980,-0.0136
20050204,1016.86,992.25,1021.03,989.94,15740,0.0238
20050216,1023.58,1023.32,1033.25,1018.49,12130,0.0066
20050217,1020.61,1024.43,1024.43,1010.48,8970,-0.0029
20050218,1006.05,1020.12,1021.2,1005.63,8140,-0.0143
20050223,1043.94,1046.81,1049.61,1036.63,18700,-0.0027
20050224,1045.46,1042.25,1045.96,1034.73,14680,0.0015
20050225,1046.76,1046.27,1059.48,1045.98,18170,0.0012
20050302,1021.32,1036.37,1045.76,1021,14230,-0.0141
20050303,1027.71,1019.88,1028.4,1014.75,9200,0.0063
20050304,1023.67,1027.93,1031.85,1022.18,8170,-0.0039
20050308,1048.99,1033.79,1049.29,1032.85,14300,0.0186
20050309,1046.54,1051.26,1054.64,1041.98,15330,-0.0023
20050310,1022.41,1046.69,1046.69,1019.63,13300,-0.0231
20050311,1027.43,1021.08,1028.12,1016.93,11480,0.0049
20050315,1013.52,1030.86,1030.94,1011.64,12010,-0.017
20050316,1003.07,1011.85,1012.2,995.97,10620,-0.0103
20050317,992.86,1001.97,1004.82,992.12,9970,-0.0102
20050318,978.66,991.89,996.4,975.71,9650,-0.0143
20050322,964.02,981.71,982.14,959.56,11380,-0.0182
20050323,959.01,962.82,975.36,955.99,10930,-0.0052
20050324,964.8,957.43,965.06,948.53,9260,0.006
20050325,962.96,964.25,966.97,959.06,7110,-0.0019
20050329,955.19,960.42,968.12,954.74,7580,-0.0057
20050330,937.03,952.71,952.71,936.38,8950,-0.019
20050331,942.2,934.85,942.37,928.34,7860,0.0055
20050405,955.6,960.54,967.75,953.59,9540,-0.0068
