Ntime,Open_us,High_us,Low_us,ClosePrice,AdjClose,Volume_us,Date,Close_cn,Open_cn,High_cn,Low_cn,Volume_cn,Fluctuation
20050104,1211.920044,1217.800049,1200.319946,1202.079956,1202.079956,1510800000,20050104,982.79,994.77,994.77,980.66,7410,-0.0172
20050105,1202.079956,1205.839966,1185.390015,1188.050049,1188.050049,1721000000,20050105,992.56,981.58,997.32,979.88,7120,0.0099
20050106,1188.050049,1192.72998,1183.719971,1183.73999,1183.73999,1738900000,20050106,983.17,993.33,993.79,980.33,6290,-0.0095
20050107,1183.73999,1191.630005,1183.27002,1187.890015,1187.890015,1569100000,20050107,983.96,983.05,995.71,979.81,7300,0.0008
20050111,1186.189941,1194.780029,1184.800049,1190.25,1190.25,1490400000,20050111,997.13,994.19,999.55,991.09,5850,0.0033
20050112,1190.25,1190.25,1180.430054,1182.98999,1182.98999,1488800000,20050112,996.75,996.65,996.98,989.26,5020,-0.0004
20050113,1182.98999,1187.920044,1175.640015,1187.699951,1187.699951,1562100000,20050113,996.88,996.08,999.47,992.7,6040,0.0001
20050114,1187.699951,1187.699951,1175.810059,1177.449951,1177.449951,1510300000,20050114,988.31,996.62,1006.46,987.23,7300,-0.0086
20050119,1184.52002,1195.97998,1180.099976,1195.97998,1195.97998,1596800000,20050119,967.21,974.33,974.33,965.26,6340,-0.0077
20050120,1195.97998,1195.97998,1184.410034,1184.630005,1184.630005,1498700000,20050120,956.25,963.21,963.21,952.23,7730,-0.0113
20050121,1184.630005,1184.630005,1173.420044,1175.410034,1175.410034,1692000000,20050121,982.6,954.46,984.27,943.44,14450,0.0276
20050125,1167.869995,1173.030029,1163.75,1163.75,1163.75,1494600000,20050125,997.77,995.64,997.95,985.24,9860,-0.0004
20050126,1163.75,1174.300049,1163.75,1168.410034,1168.410034,1610400000,20050126,989.93,995.78,999.47,988.48,7660,-0.0079
20050127,1168.410034,1175.959961,1168.410034,1174.069946,1174.069946,1635900000,20050127,974.63,987.34,987.7,973.77,6950,-0.0155
